区域编号,实际X坐标（米）,实际Y坐标（米）
1,61.98377,9.091592
1,66.252026,20.385042
1,51.460641,14.09443
1,61.446856,21.898028
1,66.870165,10.025598
1,44.371111,11.812551
1,57.235789,15.380259
1,46.535395,8.223065
1,60.868369,10.895328
1,48.003467,17.698465
1,41.388066,9.715327
1,68.007509,8.748561
1,68.737618,21.845396
1,53.430681,28.791834
1,37.69805,11.289238
1,50.44676,8.568987
1,50.777444,8.905661
1,59.098371,16.790808
1,69.215658,10.595021
1,59.522977,25.476638
1,39.221953,21.598854
1,72.354148,23.663837
1,58.837214,8.312049
1,67.575198,10.418049
1,44.030804,14.902447
1,67.291163,15.307794
1,39.561151,26.584742
1,53.78031,12.523543
1,66.622306,21.415155
1,54.572192,9.953339
1,59.594459,26.253803
1,48.641443,23.300354
1,57.817987,14.561615
1,73.711412,22.809472
1,52.519995,16.268042
1,67.469143,10.732703
1,69.436035,24.43274
1,49.145511,25.50933
1,69.963197,26.118504
1,59.799942,16.739268
1,37.587014,22.372477
1,42.36284,18.140933
1,60.517612,18.820582
1,55.773323,27.215128
1,55.172096,23.672496
1,69.641107,25.780236
1,49.987705,13.545089
1,67.976093,19.595944
1,65.081898,27.798734
1,43.044237,8.367871
1,41.077944,23.723878
1,60.087533,26.572805
1,57.821552,22.572488
1,58.503261,23.187008
1,41.504028,19.348936
1,37.818537,7.948657
1,56.686461,12.364803
1,72.773102,24.545837
1,54.71053,25.904136
1,52.575731,12.529343
1,40.826156,13.172274
1,71.68564,12.93739
1,50.677226,16.478163
1,52.825096,19.560419
1,54.501957,14.889894
1,67.098353,26.647107
1,47.464335,20.010831
1,47.882265,26.279071
1,57.792689,8.082966
1,56.581786,27.897235
1,49.057078,20.248406
1,60.082365,24.256348
1,46.053134,26.031483
1,58.399991,19.291118
1,43.545924,27.879563
1,62.69109,10.458336
1,38.003709,11.015426
1,46.089413,17.034917
1,56.541412,10.627814
1,73.178056,22.040949
2,41.647405,69.193488
2,47.401615,74.502981
2,69.899871,73.513222
2,51.850055,64.19336
2,53.128345,66.271714
2,65.838296,60.931254
2,40.569717,73.990461
2,55.084441,74.28567
2,49.041324,60.578446
2,69.414292,62.106314
2,47.594566,68.851362
2,45.806675,62.880112
2,56.816832,79.780857
2,63.898801,64.69333
2,47.022288,70.638598
2,68.44973,59.765006
2,61.193937,70.116007
2,46.177875,71.475134
2,53.291903,73.390107
2,47.654219,79.985644
2,44.163092,80.875824
2,58.176658,67.208286
2,44.492408,59.507815
2,41.367723,61.706269
2,48.887491,70.58364
2,74.83715,69.22983
2,64.112424,66.516552
2,37.934359,65.325419
2,62.644404,75.721368
2,63.408244,68.946283
2,57.614613,64.724805
2,70.481212,58.964431
2,55.56899,69.876224
2,37.902932,79.886176
2,64.513814,74.523087
2,61.124734,78.789484
2,38.498677,68.745537
2,63.447734,64.898081
2,65.187839,66.125289
2,57.39529,64.231808
2,42.275262,78.867169
2,65.482012,65.755446
2,73.542035,78.804315
2,61.500528,58.52957
2,42.696386,70.504887
2,52.751792,68.959467
2,63.6993,61.397933
2,46.762457,79.175446
2,47.301634,66.590478
2,65.798684,80.072253
2,54.478866,63.487667
2,67.253111,75.240122
2,40.623107,70.411709
2,37.734516,80.565456
2,52.40692,60.648775
2,70.870032,59.130749
2,48.905944,73.688835
2,58.978745,68.730611
2,41.506481,66.533393
2,60.976821,62.91658
2,56.471964,70.050942
2,57.442195,64.103655
2,74.404364,67.816749
2,58.811182,63.333036
2,44.263923,64.779079
2,49.37944,63.550302
2,39.756923,74.412332
2,56.776408,67.771512
2,44.027869,64.810321
2,65.596641,62.598229
3,95.448709,25.079125
3,88.802291,40.45503
3,82.073545,23.533627
3,89.449648,23.779191
3,83.635275,34.769397
3,86.901004,36.089548
3,86.410243,22.622519
3,86.077477,44.155931
3,96.608751,21.963609
3,95.043932,43.674172
3,85.120159,43.293877
3,93.933908,38.608901
3,89.505131,43.947916
3,81.56453,22.225767
3,97.686597,35.964293
3,80.643655,22.874342
3,91.218168,20.906508
3,81.715371,38.618426
3,86.192419,29.143248
3,93.878402,28.979858
3,84.910558,44.270511
3,87.685238,36.530147
3,86.317661,35.008482
3,95.778649,41.046086
3,89.477985,39.630033
3,98.41743,29.221996
3,88.001072,42.795181
3,81.715308,40.334682
3,86.963081,20.574181
3,87.099635,25.410315
4,119.047728,31.362878
4,123.684149,31.932155
4,128.5882,10.114209
4,113.193609,29.239763
4,121.28886,29.125755
4,110.764402,13.441534
4,124.110045,21.779228
4,122.739791,10.511579
4,120.411263,27.292323
4,128.713325,11.571696
4,118.797753,13.113967
4,114.992558,12.715546
4,113.260274,14.292764
4,126.214353,10.570047
4,126.563572,13.423673
4,113.707883,29.70074
4,125.044328,24.19094
4,125.649346,29.89414
4,128.734404,9.380273
4,124.794537,19.010639
4,124.40836,30.077028
4,121.014244,23.563625
4,127.498096,29.721038
4,129.451661,20.750314
4,111.867489,30.1957
4,121.677036,26.146602
4,117.537861,12.774716
4,117.694777,16.526537
4,114.248805,29.70887
4,124.336016,10.167525
4,129.184774,17.038209
4,110.778978,24.165925
4,127.477238,11.169797
4,111.010126,29.749163
4,125.594839,23.044828
4,125.751074,32.144244
4,121.496728,19.518084
4,120.080815,28.227103
4,119.830742,26.002107
4,110.509212,26.67855
5,26.085519,16.308823
5,86.765374,11.470973
5,23.566849,87.801037
5,29.229418,86.515824
5,70.381782,108.522458
5,126.780251,92.350041
5,23.030396,127.337254
5,138.948108,84.422528
5,21.357821,120.634138
5,60.231741,2.292794
5,111.936858,87.621463
5,83.269424,131.296924
5,116.492838,3.776399
5,106.633588,137.873228
5,106.365059,2.250318
5,123.38372,52.335411
5,32.322781,62.186371
5,27.453611,69.103531
5,121.933385,132.509768
5,92.212347,112.232782
5,35.225776,122.494125
5,136.109826,137.575682
5,15.822681,84.260803
5,117.855067,138.065107
5,30.376114,84.663915
5,92.030045,106.281438
5,21.788297,59.287409
5,117.234097,51.840049
5,138.771609,27.754091
5,130.486431,101.162698
